timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
12140.3080,1,0.2020,-2.4710,0.2895,-1.3651,-1.6866,1.1094,0.0369,0.4000,0.0000
12140.3082,1,0.2020,-2.4710,0.2895,-1.3651,-1.6866,1.1094,0.0369,0.4000,0.0000
12140.3083,1,0.2020,-2.4710,0.2895,-1.3651,-1.6866,1.1094,0.0369,0.4000,0.0000
12140.3209,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0370,0.4000,0.0000
12140.3376,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0370,0.4000,0.0000
12140.3543,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.3709,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.3878,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.4044,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.4210,1,0.2020,-2.4710,0.2895,-1.3651,-1.6866,1.1093,0.0369,0.4000,0.0000
12140.4378,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.4543,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0370,0.4000,0.0000
12140.4709,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.4876,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.5044,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0370,0.4000,0.0000
12140.5211,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.5376,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.5542,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0369,0.4000,0.0000
12140.5709,1,0.2020,-2.4710,0.2895,-1.3651,-1.6867,1.1093,0.0370,0.4000,0.0000
12140.5876,1,0.2020,-2.4710,0.2895,-1.3653,-1.6868,1.1092,0.0371,0.4000,0.0000
12140.6043,1,0.2020,-2.4710,0.2894,-1.3661,-1.6872,1.1084,0.0374,0.4000,0.0000
12140.6210,1,0.2020,-2.4710,0.2893,-1.3682,-1.6879,1.1062,0.0381,0.4000,0.0000
12140.6378,1,0.2020,-2.4710,0.2891,-1.3723,-1.6892,1.1022,0.0393,0.4000,0.0000
12140.6544,1,0.2020,-2.4710,0.2886,-1.3775,-1.6899,1.0969,0.0401,0.4000,0.0000
12140.6711,1,0.2020,-2.4710,0.2880,-1.3838,-1.6898,1.0906,0.0401,0.4000,0.0000
12140.6877,1,0.2020,-2.4710,0.2872,-1.3904,-1.6894,1.0840,0.0399,0.4000,0.0000
12140.7044,1,0.2020,-2.4710,0.2867,-1.3976,-1.6888,1.0767,0.0393,0.4000,0.0000
12140.7211,1,0.2020,-2.4710,0.2859,-1.4051,-1.6888,1.0692,0.0394,0.4000,0.0000
12140.7377,1,0.2020,-2.4710,0.2853,-1.4128,-1.6895,1.0615,0.0401,0.4000,0.0000
12140.7543,1,0.2020,-2.4710,0.2850,-1.4205,-1.6900,1.0538,0.0404,0.4000,0.0000
12140.7710,1,0.2020,-2.4710,0.2845,-1.4276,-1.6901,1.0466,0.0404,0.4000,0.0000
12140.7877,1,0.2020,-2.4710,0.2841,-1.4350,-1.6901,1.0392,0.0403,0.4000,0.0000
12140.8044,1,0.2020,-2.4710,0.2836,-1.4422,-1.6896,1.0320,0.0397,0.4000,0.0000
12140.8212,1,0.2020,-2.4710,0.2829,-1.4491,-1.6889,1.0251,0.0391,0.4000,0.0000
12140.8377,1,0.2020,-2.4710,0.2823,-1.4559,-1.6883,1.0183,0.0386,0.4000,0.0000
12140.8543,1,0.2020,-2.4710,0.2818,-1.4625,-1.6878,1.0116,0.0380,0.4000,0.0000
12140.8710,1,0.2020,-2.4710,0.2814,-1.4690,-1.6882,1.0052,0.0383,0.4000,0.0000
